1,262497,3,265898,28173
1,22120,0,22120,22120
1,6479,0,6479,6479
1,267026,2,265898,52873
1,198776,2,210302,3249
1,59285,2,7575,24538
1,61338,2,209252,5588
1,49176,1,43376,43376
1,45298,1,45147,45147
1,395932,2,19403,22773
1,62917,2,27862,3549
1,393368,2,14642,11404
1,198203,0,198203,198203
1,61323,1,24875,24875
1,269380,1,28329,28329
1,265366,2,263262,18881
1,54090,2,36712,14745
1,36578,2,29898,701
1,12024,2,395673,46887
1,5629,3,30083,29649
1,30328,0,30328,30328
1,25355,1,56679,56679
1,52003,2,31222,51185
1,24282,2,132825,17511
1,204924,2,24875,16097
1,44162,2,56679,9049
1,29125,2,203407,3216
1,137320,2,17922,7597
1,57934,2,15704,6910
1,264599,3,265898,263250
1,133066,2,45178,55330
1,200637,0,200637,200637
1,136951,2,3918,4826
1,138339,2,197063,45352
1,33254,2,26818,3112
1,49107,2,203407,3216
1,17964,2,38027,4847
1,47358,2,203196,25159
1,263699,2,27862,3549
1,135464,2,6894,58552
1,29984,2,62977,33490
1,48499,2,203407,3216
1,135635,2,133042,9931
1,132535,3,3918,133648
1,51087,2,43626,6830
1,204929,2,56679,35297
1,37582,2,31222,174
1,203734,2,31222,174
1,35011,2,6894,43561
1,11815,2,27862,3549
1,51252,2,202984,39399
1,12456,0,12456,12456
1,19528,2,30083,6939
1,34376,2,6894,8262
1,5411,2,197063,12552
1,40530,2,36712,7018
1,33821,2,209252,5588
1,202459,1,12350,12350
1,21821,2,395673,46887
1,138670,2,55932,7470
1,40926,2,36712,7018
1,262174,2,52352,10481
1,19170,2,31222,174
1,202521,2,31222,174
1,57080,2,39016,9050
1,31169,2,1299,30950
1,132662,2,56679,7713
1,20313,2,36712,7018
1,45469,2,133676,55410
1,47695,2,56679,12741
1,40457,2,394587,33489
1,30503,2,31222,174
1,262329,2,53161,16397
1,205748,2,56679,12741
1,43142,1,6894,6894
1,51288,2,203407,3216
1,135833,2,3918,9498
1,20577,2,26470,6461
1,36764,2,29898,701
1,33764,2,30083,6939
1,19179,2,27862,3549
1,60127,1,41221,41221
1,22908,2,31222,174
1,31382,2,197063,1764
1,22681,2,30083,3356
1,57946,2,56679,12578
1,201009,2,56679,12695
1,53486,2,31222,24482
1,48826,2,56679,9049
1,61246,3,59431,58224
1,48697,2,31222,174
1,64454,2,56679,1820
1,48757,2,56679,31133
1,40812,2,26818,3112
1,137485,3,138501,45905
1,54778,2,36712,7018
1,8721,2,3320,34984
1,53652,2,53285,29863
1,12946,2,31222,174
1,63116,2,27862,3549
1,43586,1,12361,12361
1,6772,1,49113,49113
1,17733,2,205844,4657
1,206392,2,56679,43267
1,393344,2,395353,7029
1,202856,2,197063,8447
1,207133,1,56679,56679
1,210326,2,397187,2914
1,200647,2,12350,15576
1,266600,2,27862,3549
1,56668,2,30975,24724
1,394520,2,1299,23498
