63159,3741,2,745,2
30421,22773,2,543,2
13893,209,3,1791,3
263722,4323,3,1487,3
267708,4323,2,1486,2
13250,49605,24,2173,24
61841,52836,3,37,3
40092,46844,3,13,16
28579,14840,2,2898,2
199572,199634,433,432,0
262189,7049,3,216,3
207247,31027,2,130,2
30180,701,4,1384,4
393569,12271,2,57,2
56675,3257,2,2010,2
42822,9049,2,749,2
60100,202203,3,9,3
41297,8308,3,188,3
11129,13789,2,110,2
24118,2764,2,147,2
202642,13215,2,9,2
48053,2847,5,9,5
57866,15703,74,97,0
58443,132834,2,2,4
11763,26554,5,109,5
52958,18881,3,479,3
56402,202788,3,2,2
39406,209307,2,529,2
19414,4323,2,1485,2
47390,6910,2,152,2
328137,54113,341,269,0
50469,15704,78,713,0
43399,12389,7,1458,7
25160,24875,387,740,0
262614,22548,38,1417,0
803,51185,57,4285,61
61360,31133,2,1366,2
4851,63956,14,810,14
396036,33491,2,245,2
7936,54004,2,328,2
46189,13790,2,15,2
50689,12301,2,167,2
52727,52952,2,4,1
25541,9119,2,186,2
200855,51859,3,3,3
26105,27944,33,2,15
32761,701,2,1383,2
46820,11351,2,82,18
132241,6939,3,8237,3
34208,12831,2,36,9
206954,12479,2,115,2
21852,22773,2,542,2
62,393587,110,3,3
32344,33491,2,244,2
200031,61568,10,3816,10
48146,12357,2,79,2
393415,3549,4,2196,31
197240,12357,3,78,94
40810,3549,2,2195,2
31264,3292,2,367,2
32887,27195,2,8,2
19817,36351,6,2829,6
12557,47447,2,158,2
63769,7552,2,227,2
11899,7018,3,2518,3
23853,24400,3,24,3
4816,135629,5,6,6
48299,1299,2,2010,2
15548,12357,3,77,80
55669,38158,3,137,3
135376,132471,2,9,2
37119,327833,7,2,2
201016,20632,2,84,2
60822,39533,112,1813,112
204837,204301,2,2,2
60349,207772,5,2,2
203471,2119,2,446,2
30559,15290,2,134,2
263442,52863,4,1531,12
266302,52965,6,145,9
12159,6419,2,10,2
132217,32787,2,478,2
137579,45588,2,21,9
204322,8607,2,123,2
31758,26794,2,27,2
56258,3356,148,5601,242
42301,31376,2,467,2
137881,4739,2,689,2
263394,3549,31,2194,32
8890,24748,5,73,0
51715,8492,2,1775,2
264323,57695,38,2351,0
197659,100,2,8,10
203924,33891,3,1279,5
269395,267313,3,54,3
40569,21947,3,42,3
21461,24961,3,534,3
266226,265290,2,44,2
57439,31500,3,722,3
20430,6181,2,90,2
44045,42337,4,112,12
269338,262757,37,1310,38
265529,13999,3,32,3
60760,1273,2,307,2
12247,600,3,60,63
20449,11426,2,89,2
52481,11664,3,81,3
9534,39120,55,3878,66
42966,5588,2,633,2
138205,58689,3,75,3
14460,174,2,6080,2
6874,3267,3,1154,4
136165,40676,2,187,2
43314,49476,73,526,0
262362,53115,2,50,2
198563,8359,2,965,2
268206,264170,3,47,3
23268,22822,3,252,3
38785,4761,3,252,3
17447,18101,4,118,4
51798,174,2,6079,2
133792,7474,7,329,7
46746,2828,6,705,6
202161,2856,2,223,2
397351,11427,2,159,2
42180,1267,5,1008,5
139989,133535,2,13,2
9650,135396,13,4,4
44657,20485,2,1209,2
133299,4657,4,986,4
209450,56709,2,6,2
46573,32708,12,21,33
41057,58321,2,28,2
197025,12741,2,916,2
32923,27506,2,14,2
135450,58485,5,6,6
43453,2856,2,222,2
139889,132280,2,39,2
204484,50994,5,5,5
8798,47396,6,2,2
265988,10429,2,542,2
19787,3356,2,5600,338
29545,3303,80,925,80
198455,20562,3,1549,3
46145,7029,2,441,455
12150,4323,4,1484,4
26405,13354,3,18,3
203136,35805,3,249,3
201020,6939,3,8236,3
39350,8732,3,974,3
197893,50597,2,25,2
24268,10010,2,60,2
132567,55410,3,249,3
133347,7717,2,346,2
134425,134146,5,24,5
60653,43531,3,1075,3
263971,52783,3,21,3
1828,36351,162,2828,162
206736,62081,2,298,2
394869,2914,4,1737,4
48209,20485,3,1208,3
58523,24187,2,10,12
205288,61955,3,2096,3
131910,2518,2,74,2
21669,3257,4,2009,5
266618,4323,2,1483,2
21365,28884,2,14,2
197318,50607,3,318,3
46089,701,2,1382,2
38104,3786,2,385,2
62091,61240,2,9,9
39347,39737,3,461,4
42693,12389,2,1457,2
7712,24441,4,344,4
35478,42397,2,2,3
29802,196610,164,487,0
46392,10,3,3,3
197819,1680,2,294,2
57460,35320,2,291,2
264425,52863,37,1530,37
34502,33891,2,1278,2
59440,202984,14,1123,14
48640,12357,2,76,43
53718,26801,4,49,4
35014,8717,2,286,2
13249,196709,594,437,0
28210,263047,58,1263,0
10881,22356,13,1077,18
60816,42927,4,42,1
8427,43812,2,3,0
33489,3356,18,5599,29
263619,61678,2,25,2
51153,28812,2,9,2
7212,10490,2,35,2
35005,1140,64,921,64
262493,267613,52,3894,53
30688,30401,16,2,2
394133,3356,2,5598,2
264544,268386,6,2,2
49609,41692,3,158,3
16832,3356,14,5597,40
5692,10834,2,59,2
263152,267530,1315,39,0
11051,7473,32,362,0
34089,25159,2,93,2
131938,17676,3,160,3
54854,27552,2,88,2
393418,701,2,1381,2
10457,6453,5,715,6
40354,3356,2,5596,2
131195,9255,3,47,3
